# アノテーション(説明パネル)定義ファイル
# 各行が1つの説明パネルに対応します。
#
# 列の意味:
#   datasetId : 対応するデータセットID(datasets.csv の id と一致させる)
#   x, y, z   : 球体を置くワールド座標(m)。アノテーション配置モード(?annotate=1)で
#               黄色い立方体が示す3m先の設置点を A キーでコピーすると雛形が得られます。
#   title     : パネルのタイトル(太字シアンで表示)
#   body      : パネルの本文。カンマや改行を含める場合は "..." で囲んでください。
#               改行を入れたい場合はダブルクオート内で実際に改行します。
#   radius    : 球体の半径(m)。省略時 0.25
#   dist      : このパネルを表示し始めるカメラからの距離(m)。省略時 5
#
# ※ 下記の x,y,z は仮のサンプル値です。実際の見せたい位置は
#   ?annotate=1 でその場所まで移動し、A キーで正しい座標を取得して置き換えてください。
#   ?annotate=1 では I/J/K/L で立方体を上/左/下/右から確認、H で正面に戻れます。
datasetId,x,y,z,title,body,radius,dist
1886,5.00,1.50,-8.00,正門跡,"明治期に建てられた正門があった場所。現在は礎石の一部が残るのみ。",0.25,5
1886,-12.00,2.00,15.00,中央広場,"市民の集会や祭事に使われた広場。週末には露店が並び賑わった。",0.25,5
1886,20.00,1.00,3.00,旧水路,"灌漑と生活用水を兼ねた水路の跡。石組みの護岸が当時の技術を伝える。",0.25,5
1886,-3.00,3.50,-20.00,鐘楼,"時を告げる鐘が設置されていた塔。一日の生活リズムを刻んでいた。",0.25,5
1886,8.00,1.20,25.00,商家通り,"商店が軒を連ねた通り。呉服店や薬種問屋などが営業していた。",0.25,5
1881,4.00,1.50,-6.00,船着場,"川を行き交う荷を扱った船着場。物流の起点として栄えた。",0.25,5
1881,-10.00,1.80,10.00,旧役場,"地域行政の中心となった建物。各種の届け出はここで受け付けられた。",0.25,5
1881,14.00,1.20,18.00,市場跡,"日用品や食材が並んだ市場。早朝から多くの人で賑わった。",0.25,5
1882,6.00,1.40,-10.00,寺院,"地域の信仰を集めた寺院。境内では年中行事が営まれた。",0.25,5
1882,-8.00,2.00,12.00,旧学校,"子どもたちが学んだ学校の跡。地域教育の礎となった。",0.25,5
1882,18.00,1.00,-4.00,井戸端,"共同の井戸があった場所。住民が水を汲み、情報を交わした。",0.25,5
1889,5.50,1.60,-7.00,駅舎,"鉄道の開通とともに設けられた駅舎。人と物の往来が一変した。",0.25,5
1889,-11.00,1.90,14.00,郵便局,"郵便と電信を扱った局舎。遠隔地との連絡を支えた。",0.25,5
1889,16.00,1.10,6.00,倉庫群,"輸送品を一時保管した倉庫の並び。商業の拡大を物語る。",0.25,5
